io_timestamp, io_value, io_private
1411446000000, 15.7815, f
1411468320000, 15.2193, f
1411496820000, 13.8522, f
1411561560000, 15.2135, f
1411579200000, 29.4415, f
1411609440000, 18.0337, f
1411644360000, 15.3259, f
1411654080000, 25.9499, f
1411679880000, 11.3768, f
1411704300000, 14.5888, f
1411725600000, 14.0178, f
1411749840000, 15.4728, f
1411793340000, 15.766, f
1411820820000, 17.0055, f
1411848480000, 14.9408, f
1411872120000, 15.5045, f
1411902720000, 15.5133, f
1411937400000, 16.2434, f
1411950240000, 15.701, f
1411968780000, 16.5493, f
1412140860000, 15.0682, f
1412163600000, 19.3045, f
1412174280000, 27.6378, f
1412209980000, 15.1845, f
1412244000000, 16.5482, f
1412268780000, 13.3317, f
1412289840000, 27.3821, f
1412326800000, 15.716, f
1412362080000, 15.1205, f
1412386860000, 16.6245, f
1412403180000, 15.799, f
1412465400000, 13.8208, f
1412482620000, 18.1986, f
1412506500000, 14.7987, f
1412562060000, 15.1243, f
1412582280000, 13.5758, f
1412707980000, 14.8001, f
1412728980000, 17.7419, f
1412758920000, 8.9046, f
1412794380000, 14.0277, f
1412823120000, 16.1486, f
1412875920000, 16.8134, f
1412919180000, 15.4559, f
1412937780000, 14.6059, f
1412997120000, 16.1362, f
1413041700000, 21.864, f
1413082680000, 13.9213, f
1413112080000, 15.0914, f
1413132300000, 17.2109, f
1413146400000, 15.5124, f
1413176160000, 15.9738, f
1413193200000, 17.7203, f
1413259440000, 15.2919, f
1413289740000, 9.6504, f
1413305220000, 20.1021, f
1413326940000, 14.4396, f
1413359640000, 15.4013, f
1413436680000, 14.6706, f
1413454560000, 12.606, f
1413471360000, 15.133, f
1413492960000, 15.5623, f
1413508080000, 16.5788, f
1413561840000, 17.5704, f
1413573600000, 13.4716, f
1413585600000, 15.9828, f
1413625980000, 20.2061, f
1413666900000, 15.8495, f
1413703680000, 11.7971, f
1413721380000, 18.1898, f
1413768660000, 13.0371, f
1413812520000, 14.2643, f
1413847500000, 17.7103, f
1413877920000, 14.9097, f
1413918780000, 12.042, f
1413930600000, 11.5977, f
1413975720000, 15.6618, f
1413993120000, 27.6704, f
1414080000000, 16.5229, f
1414118340000, 14.4414, f
1414142940000, 12.8881, f
1414179060000, 13.9713, f
1414228440000, 12.8201, f
1414267860000, 18.673, f
1414283100000, 13.6857, f
1414317060000, 17.5794, f
1414341720000, 28.1555, f
1414382160000, 13.1326, f
1414406700000, 12.248, f
1414428240000, 15.675, f
1414444380000, 18.0369, f
1414539420000, 12.7683, f
